codigo;escola;longitude;latitude
13098527;EE Samsung Amazonas;-60,50163386;-2,82099344
13099884;CETI Eng. Prof. Sergio Alfredo Pessoa Figueiredo;-59,931052;-3,0068827
13101048;EE Eliana Socorro Pacheco Braga;-59,995966;-2,9681656
13103415;EE Profa. Eliana de Freitas Morais;-60,010665;-2,967826
13103393;EE Senador Evandro Das Neves Carreira;-59,996468;-2,9659803
13103423;EE Profa. Karla Patricia Barros de Azevedo;-60,040458;-3,0174146
13103377;EE Ten. Coronel Candido Jose Mariano;-60,004038;-3,0592434
13103385;EE Coronel Pedro Camara;-60,063551;-3,1042174
13104411;EETI Profa. Lecita Fonseca Ramos;-60,005075;-3,0030433
13106341;EE Prof. Rofran Belchior da Silva;-59,939687;-3,0507473
13260200;Anexo da EE Ayrton Senna;-60,005688;-2,9986788
13107100;CETI Dariana Zuleica Correa Lopes;-59,982797;-2,9657208
13107950;EE Terezinha Almeida da Silva;-60,052726;-3,076367
13080580;Anexo da EE Prof Cleomenes Do Carmo Chaves III;-59,93041127;-3,030180506
13314211;Anexo da EE Irma Gabrielle Cogels;-59,88522469;-3,077205822
13031112;EE Maria da Luz Calderaro;-60,039286;-3,0516714
13027638;EETI Maria Rodrigues Tapajos;-60,046366;-3,0610858
13030256;EE Carvalho Leal;-60,00421114;-3,121271371
13030957;EE Vicente Schettini;-60,02994748;-3,128500494
13030523;EE Lucinda Felix de Azevedo;-59,98689246;-3,110676824
13055194;Anexo da EE Arlindo Vieira dos Santos - I;-60,00797;-3,0200609
0;SEDUC;-59,97480585;-3,11541207
